year,rank,title,artist,url,lyrics
1989,100,Keep on Movin',Soul II Soul,https://genius.com/Soul-ii-soul-keep-on-movin-lyrics,"[Verse 1]
Keep on moving
Don't stop like the hands of time
Click, clock, find your own way to stay
The time will come one day
Why do people choose to live their lives this way?
[Chorus]
Keep on moving, don't stop, no
Keep on moving
Keep on moving
Keep on moving, don't stop, no
Keep on moving
[Verse 2]
It's our time, time today
The right time is here to stay
Stay in my life, my life always
Yellow is the color of sunrays
I hide myself from no one
I know the time will surely come
When you'll be in my life, my life always
Yellow is the color of sunrays
[Chorus]
(Keep on moving)
Keep on moving (Don't stop)
Keep on moving, don't stop, no (Like the hands of time)
Keep on moving (Click, clock)
(Find your own way to stay)
Keep on moving
The time will come one day (Time will come one day, oh, oh)
Keep on moving, don't stop, no
Keep on moving
Keep on moving (Hey)
Keep on moving, don't stop, no
Keep on moving"
1990,1,Hold On,Wilson Phillips,https://genius.com/Wilson-phillips-hold-on-lyrics,"[Verse 1]
I know this pain (I know this pain)
Why do you lock yourself up in these chains? (These chains)
No one can change your life except for you
Don't ever let anyone step all over you
Just open your heart and your mind
Is it really fair to feel this way inside?
Oh
[Chorus]
Someday, somebody's gonna make you wanna
Turn around and say goodbye
Until then, baby, are you gonna let them
Hold you down and make you cry?
Don't you know?
Don't you know things can change?
Things'll go your way
If you hold on for one more day
Can you hold on for one more day?
Things'll go your way
Hold on for one more day
[Verse 2]
You could sustain (Sustain)
Or are you comfortable with the pain?
You've got no one to blame for your unhappiness (No, baby)
You got yourself into your own mess (Oh)
Lettin' your worries pass you by (Lettin' your worries pass you by)
Don't you think it's worth your time
To change your mind?
Ooh, no"
1990,2,It Must Have Been Love,Roxette,https://genius.com/Roxette-it-must-have-been-love-lyrics,"[Intro]
It must have been love
But it's over now
[Verse 1]
Lay a whisper
On my pillow
Leave the winter
On the ground
I wake up lonely
This air of silence
In the bedroom
And all around (All around)
[Pre-Chorus]
Touch me now
I close my eyes
And dream away
[Chorus]
It must have been love
But it's over now
It must have been good
But I lost it somehow
It must have been love
But it's over now
From the moment we touched
'Til the time had run out"
1990,3,Nothing Compares 2 U,Sinéad O'Connor,https://genius.com/Sinead-oconnor-nothing-compares-2-u-lyrics,"[Verse 1]
It's been seven hours and fifteen days
Since you took your love away
I go out every night and sleep all day
Since you took your love away
Since you've been gone I can do whatever I want
I can see whomever I choose
I can eat my dinner in a fancy restaurant
But nothing, I said, nothing can take away these blues
[Chorus]
'Cause nothing compares
Nothing compares to you
[Verse 2]
It's been so lonely without you here
Like a bird without a song
Nothing can stop these lonely tears from falling
Tell me, baby, where did I go wrong?
I could put my arms around every boy I see
But they'd only remind me of you
I went to the doctor and guess what he told me, guess what he told me
He said, ""Girl, you better try to have fun no matter what you do,"" but he's a fool
[Chorus]
'Cause nothing compares
Nothing compares to you"
1990,4,Poison,Bell Biv DeVoe,https://genius.com/Bell-biv-devoe-poison-lyrics,"[Intro: Michael Bivins, 
Ronnie DeVoe
 & 
Ricky Bell
]
Yeah, Spyderman and Freeze in full effect
Uh-huh
You ready, Ron?
I'm ready
You ready, Biv?
I'm ready, Slick, are you?
Oh, yeah, break it down
[Verse 1: Michael Bivins, 
Ronnie DeVoe
, 
Ricky Bell
]
Girl, I, must (Warn you)
I sense something strange in my mind
Situation is (Serious)
Let's cure it 'cause we're running out of time
It's oh, so (Beautiful)
Relationships they seem from the start
It's all so (Deadly)
When love is not together from the heart
[Pre-Chorus: Ricky Bell]
It's drivin' me out of my mind!
That's why it's hard for me to find
Can't get it out of my head!
Miss her, kiss her, love her
(Wrong move you're dead!)"
1990,5,Vogue,Madonna,https://genius.com/Madonna-vogue-lyrics,"[Produced by Shep Pettibone and Madonna]
[Intro]
Strike a pose
Strike a pose
Vogue (Vogue, vogue)
Vogue (Vogue, vogue)
[Verse 1]
Look around, everywhere you turn is heartache
It's everywhere that you go (Look around)
You try everything you can to escape
The pain of life that you know (Life that you know)
When all else fails and you long to be
Something better than you are today
I know a place where you can get away
It's called a dance floor
And here's what it's for, so
[Chorus]
Come on, vogue (Vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue)
Let your body go with the flow (Go with the flow)
You know you can do it"
1990,6,Vision of Love,Mariah Carey,https://genius.com/Mariah-carey-vision-of-love-lyrics,"[Verse 1]
Treated me kind
Sweet destiny
Carried me through desperation
To the one that was waiting for me
It took so long
Still I believed
Somehow the one that I needed
Would find me eventually
[Chorus]
I had a vision of love
And it was all that you've given to me
[Verse 2]
Prayed through the nights
Felt so alone
Suffered from alienation
Carried the weight on my own
Had to be strong
So I believed
And now I know I've succeeded
In finding the place I conceived
[Chorus]
I had a vision of love
And it was all that you've given to me
I had a vision of love
And it was all that you've given me"
1990,7,Another Day in Paradise,Phil Collins,https://genius.com/Phil-collins-another-day-in-paradise-lyrics,"[Verse 1]
She calls out to the man on the street
""Sir, can you help me?
It's cold and I've nowhere to sleep
Is there somewhere you can tell me?""
He walks on, doesn't look back
He pretends he can't hear her
Starts to whistle as he crosses the street
Seems embarrassed to be there
[Chorus]
Oh, think twice
'Cause it's another day
For you and me in paradise
Oh, think twice
'Cause it's another day for you
You and me in paradise
[Post-Chorus]
Think about it
[Verse 2]
She calls out to the man on the street
He can see she's been crying
She's got blisters on the soles of her feet
She can't walk, but she's trying"
1990,8,Hold On,En Vogue,https://genius.com/En-vogue-hold-on-lyrics,"[Intro: Terry Ellis, 
En Vogue
]
When I (
When I
) had you (
Had you
)
I treated you 
bad
Wrong, my dear
But 
since
, since you went 
away
Don't you know I 
hang around
, sit around (
Sit around
)
With my 
head hanging down
And I wonder (
Wonder, wonder
)
Who's (
Who's
) loving you? (
You
)
[Verse 1: Cindy Herron, 
En Vogue
]
Ooh, my first mistake was
I wanted too much time
I had to have him morning, noon, and night
If
 I would've known then
The things that I know now
I might not have lost the time I complain about
[Pre-Chorus: En Vogue]
Don't waste your time
Fighting blind minded thoughts of despair
[Chorus: En Vogue, 
Cindy Herron
]
Hold on to your love
(
You got to hold on
)
Hold on to your love
(
Ooh, hoo, baby, hold on
)
Hold on to your love
(
Oh, you got to hold on, hey
)
Hold on to your love, ooh"
1990,9,Cradle of Love,Billy Idol,https://genius.com/Billy-idol-cradle-of-love-lyrics,"Well- ow!
Rock the cradle of love
Rock the cradle of love
Yes, the cradle of love don't rock easily, it's true
Well, rock the cradle of love
I rocked the cradle of love
Yes, the cradle of love don't rock easily, it's true
Well now
It burned like a ball on fire
When the rebel took a little child bride
To tease, yeah, so go easy, yeah
Ow!
'Cause love cuts a million ways
Shakes the devil when he misbehaves
I ain't nobody's fool
Come on, shake it up
Whatever I do
Rorwar!
Rock the cradle of love (Whoo!)
Rock the cradle of love
Yes, the cradle of love don't rock easily, it's true (Oo, yeah, ow!)
Sent from heaven above, that's right
To rob the cradle of love
Yes, the pages of love don't talk decently, it's true"
