year,rank,title,artist,url,lyrics
1979,100,"""Strange Way""",Firefall,https://genius.com/Firefall-strange-way-lyrics,"[Verse 1]
Didn't I hear you cry this morning?
Didn't I feel you weep?
Teardrops flowin' down on me
Like rivers in my sleep
In my dream of laughter
You came creepin' with your fears
Tellin' me your sorrow
In the tracings of your tears
[Chorus]
That's a strange way to tell me you love me
When your sorrow is all I can see
If you just want to cry to somebody
Don't cry to me, no
Don't cry to me, no
[Verse 2]
Didn't I hear your voice this morning?
Didn't you call my name?
I heard you whisper softly
But the words were never plain
And in your dream of darkness
I came shinin' like the sun
Waiting for the laughter
But the laughter never comes"
1980,1,Call Me,Blondie,https://genius.com/Blondie-call-me-lyrics,"[Instrumental Intro 00:00-00:29]​
[Verse 1]
Color me your color, baby, color me your car
Color me your color, darling, I know who you are
Come up off your color chart
I know where you're coming from
[Chorus]
Call me (Call me) on the line
Call me, call me any, anytime
Call me (Call me) I'll arrive
You can call me any day or night, call me
[Verse 2]​
Cover me with kisses, baby, cover me with love
Roll me in designer sheets, I'll never get enough
Emotions come, I don't know why
Cover up love's alibi
[Chorus]
Call me (Call me) on the line
Call me, call me any, anytime
Call me (Call me) I'll arrive
When you're ready we can share the wine, call me"
1980,2,"Another Brick in the Wall, Part II",Pink Floyd,https://genius.com/Mr-mendola-songs-from-the-perks-of-being-a-wallflower-annotated,"The novel references these songs:
""Asleep""
 by The Smiths
""Blackbird""
 by The Beatles
""MLK""
 by U2
""Landslide""
 by Fleetwood Mac (in the movie, the tunnel scene song is Heroes by David Bowie)
""Smells Like Teen Spirit""
 by Nirvana
""Vapour Trail"" by Ride
""Scarborough Fair""
 by Simon and Garfunkel
""A Whiter Shade of Pale""
 by Procol Harum
""Time of No Reply""
 by Nick Drake
""Dear Prudence""
 by The Beatles
""Gypsy""
 by Suzanne Vega
""Nights in White Satin"" by The Moody Blues
""Daydream""
 by The Smashing Pumpkins
""Dusk""
 by Genesis
""
Something
"" by The Beatles
""Broken Wings""
 by Mr. Mister
""I'm Going Home""
, sung by Tim Curry as Frank N. Furter in 
The Rocky Horror Picture Show
""Another Brick in the Wall, Part II""
 by Pink Floyd
""Autumn Leaves"" is not the song by Nat King Cole, but simply the name of the mixtape that ""a boy"" made for Charlie's sister
Other music groups and artists are mentioned without reference to a specific song, including 
Village People
, 
Blondie
, 
Jim Morrison
, 
John Lennon
, 
The Slits
, and 
Billie Holiday"
1980,3,Magic,Olivia Newton-John,https://genius.com/Olivia-newton-john-magic-lyrics,"[Verse 1]
Come take my hand
You should know me
I've always been in your mind
You know I will be kind
I'll be guiding you
[Verse 2]
Building your dream
Has to start now
There's no other road to take
You won't make a mistake
I'll be guiding you
[Chorus]
You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray
[Post-Chorus]
And if all your hopes survive
Destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you"
1980,4,Rock with You,Michael Jackson,https://genius.com/Michael-jackson-rock-with-you-lyrics,"[Verse 1]
Girl, close your eyes
Let that rhythm get into you
Don't try to fight it
There ain't nothin' that you can do
Relax your mind
Lay back and groove with mine
[Pre-Chorus]
You gotta feel that heat
And we can ride the boogie
Share that beat of love
[Chorus]
I wanna rock with you (All night)
Dance you into day (Sunlight)
I wanna rock with you (All night)
We're gonna rock the night away (Rock, right)
[Verse 2]
Out on the floor
There ain't nobody there but us
Girl, when you dance
There's a magic that must be love
Just take it slow
'Cause we got so far to go"
1980,5,Do That to Me One More Time,Captain & Tennille,https://genius.com/Captain-and-tennille-do-that-to-me-one-more-time-lyrics,"[Chorus]
Do that to me one more time
Once is never enough with a man like you
Do that to me one more time
I can never get enough of a man like you
[Post-Chorus]
Oh, kiss me like you just did
Oh baby
Do that to me once again
[Chorus]
Pass that by me one more time
Once just isn't enough for my heart to hear
Oh, tell it to me one more time
I can never hear enough while I've got you near, oh
[Post-Chorus]
Say those words again like you just did
Oh baby
Tell it to me once again
[Interlude]
[Chorus]
Do that to me one more time
Once is never enough with a man like you
Woah, do that to me one more time
I can never get enough of a man like you"
1980,6,Crazy Little Thing Called Love,Queen,https://genius.com/Queen-crazy-little-thing-called-love-lyrics,"[Intro]
[Chorus]
This thing called love
I just can't handle it
This thing called love
I must get 'round to it, I ain't ready
Crazy little thing called love
[Verse 1]
A-this thing (This thing)
Called love (Called love)
It cries (Like a baby)
In a cradle all night
It swings (Woo, woo)
It jives (Woo, woo)
It shakes all over like a jellyfish
Woo, I kinda like it
Crazy little thing called love
[Bridge]
There goes my baby
She knows how to rock 'n' roll
She drives me crazy
She gives me hot and cold fever
Then she leaves me in a cool, cool sweat"
1980,7,Coming Up,Paul McCartney,https://genius.com/Paul-mccartney-coming-up-lyrics,"[Verse 1]
You want a love to last forever
One that will never fade away
I wanna help you with your problem
Stick around, I say
[Chorus]
Coming up (Ooh, ooh)
Coming up, yeah
Coming up like a flower
Coming up, I say (Ooh)
[Verse 2]
You want a friend you can rely on
One who will never fade away
And if you're searching for an answer
Stick around, I say
[Chorus]
Coming up (Ooh, ooh)
Coming up
Coming up like a flower
Coming up, yeah
[Instrumental Break]"
1980,8,Funkytown,Lipps Inc.,https://genius.com/Lipps-inc-funkytown-lyrics,"[Instrumental Intro]
[Verse]
Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy
[Pre-Chorus]
Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'
Gotta move on
Gotta move on
Gotta move on
[Instrumental]
[Chorus]
A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
[Instrumental]
[Chorus]
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?"
1980,9,It's Still Rock and Roll to Me,Billy Joel,https://genius.com/Billy-joel-its-still-rock-and-roll-to-me-lyrics,"[Verse 1]
What's the matter with the clothes I'm wearing?
Can't you tell that your tie's too wide?
Maybe I should buy some old tab collars?
Welcome back to the age of jive
[Pre-Chorus]
Where have you been hidin' out lately, honey?
You can't dress trashy 'til you spend a lot of money
[Chorus]
Everybody's talkin' 'bout the new sound
Funny, but it's still rock and roll to me
[Verse 2]
What's the matter with the car I'm driving?
Can't you tell that it's out of style?
Should I get a set of whitewall tires?
Are you gonna cruise the miracle mile?
[Pre-Chorus]
Nowadays you can't be too sentimental
Your best bet's a true baby blue Continental
[Chorus]
Hot funk, cool punk, even if it's old junk
It's still rock and roll to me"
1980,10,The Rose,Bette Midler,https://genius.com/Bette-midler-the-rose-lyrics,"[Verse 1]
Some say love, it is a river
That drowns the tender reed
Some say love, it is a razor
That leaves your soul to bleed
Some say love, it is a hunger
An endless aching need
I say love, it is a flower
And you, its only seed
[Verse 2]
It's the heart, afraid of breaking
That never learns to dance
It's the dream, afraid of waking
That never takes the chance
It's the one who won't be taken
Who cannot seem to give
And the soul, afraid of dying
That never learns to live
[Verse 3]
When the night has been too lonely
And the road has been too long
And you think that love is only
For the lucky and the strong
Just remember in the winter
Far beneath the bitter snows
Lies the seed that with the sun's love
In the spring becomes the rose"
1980,11,Escape (The Piña Colada Song),Rupert Holmes,https://genius.com/Rupert-holmes-escape-the-pina-colada-song-lyrics,"[Verse 1]
I was tired of my lady
We'd been together too long
Like a worn out recording
Of a favorite song
So while she lay there sleeping
I read the paper in bed
And in the personal columns
There was this letter I read
[Chorus]
If you like piña coladas
And gettin' caught in the rain
If you're not into yoga
If you have half a brain
If you like making love at midnight
In the dunes on the cape
Then I'm the love that you've looked for
Write to me and escape
[Verse 2]
I didn't think about my lady
I know that sounds kind of mean
But me and my old lady
Had fallen into the same old dull routine
So I wrote to the paper
Took out a personal ad
And though I'm nobody's poet
I thought it wasn't half bad"
1980,12,Cars,Gary Numan,https://genius.com/Gary-numan-cars-lyrics,"[Verse 1]
Here in my car
I feel safest of all
I can lock all my doors
It's the only way to live
In cars
Here in my car
I can only receive
I can listen to you
It keeps me stable for days
In cars
[Verse 2]
Here in my car
Where the image breaks down
Will you visit me, please
If I open my door?
In cars
Here in my car
I know I've started to think
About leaving tonight
Although nothing seems right
In cars"
1980,13,Cruisin,Smokey Robinson,https://genius.com/Smokey-robinson-cruisin-lyrics,"[Intro]
(Cruisin')
[Verse 1]
Baby, let's cruise, away from here
Don't be confused, the way is clear
And if you want it, you got it, forever
This is not a one night stand, baby, yeah so
[Pre-Chorus]
Let the music take your mind, ooh
Just release and you will find
[Chorus]
You're gonna fly away
Glad you're goin' my way
I love it when we're cruisin' together
The music is played for love
Cruisin' is made for love
I love it when we're cruisin' together
[Verse 2]
Baby, tonight belongs to us
Everything's right, do what you must
And inch by inch, we get closer and closer
To every little part of each other, ooh baby, yeah"
1980,14,Working My Way Back to You,The Spinners,https://genius.com/The-spinners-working-my-way-back-to-you-lyrics,"Ooh, ooh-ooh
I'll keep working my way back to you, babe
With a burning love inside
Yeah, I'm working my way back to you, babe
And the happiness that died
I let it get away (Do-do, do, do-do)
Been payin' every day (Do-do, do, do-do)
When you were so in love with me
I played around like I was free
Thought I could have my cake and eat it, too
But how I cried over losing you
See, I'm down and out
But I ain't about to go living my life without you
Hey, every day I made you cry
I'm paying, girl, 'til the day I die
I'll keep working my way back to you, babe
With a burning love inside
Yeah, I'm working my way back to you, babe
And the happiness that died
I let it get away (Do-do, do, do-do)
Been payin' every day (Do-do, do, do-do)"
1980,15,Lost in Love,Air Supply,https://genius.com/Air-supply-lost-in-love-lyrics,"[Verse 1]
I realise the best part of love is the thinnest slice
And it don't count for much
But I'm not letting go
I believe there's still much to believe in
[Verse 2]
So lift your eyes if you feel you can
Reach for a star and I'll show you a plan
I figured it out
What I needed was someone to show me
[Pre-Chorus]
You know you can't fool me
I've been lovin' you too long
It started so easy
You want to carry on (Carry on)
[Chorus]
Lost in love and I don't know much
Was I thinkin' aloud and fell out of touch?
But I'm back on my feet
And eager to be what you wanted
[Verse 2]
So lift your eyes if you feel you can
Reach for a star and I'll show you a plan
I figured it out
What I needed was someone to show me"
1980,16,Little Jeannie,Elton John,https://genius.com/Elton-john-little-jeannie-lyrics,"[Verse 1]
Oh, little Jeannie
You got so much love, little Jeannie
And you take it where it strikes
And give it to the likes of me
Oh, little Jeannie
You got so much love, little Jeannie
So I see you when I can
You make me all a man can be
[Chorus]
And I want you to be my acrobat
I want you to be my lover
Oh, there were others who would treat you cruel
And oh, Jeannie, you were always someone's fool
[Verse 2]
Little Jeannie
You got so much time, little Jeannie
Though you've grown beyond your years
You still retain the fears of youth
Oh, little Jeannie
You got so much time, little Jeannie
But you're burnin' it up so fast
Searchin' for some lasting truth"
1980,17,Ride Like the Wind,Christopher Cross,https://genius.com/Christopher-cross-ride-like-the-wind-lyrics,"[Verse 1: Christopher Cross]
It is the night
My body's weak
I'm on the run
No time to sleep
I've got to ride
Ride like the wind
To be free again
[Chorus: Christopher Cross (Michael McDonald)]
And I've got such a long way to go (Such a long way to go)
To make it to the border of Mexico
So I'll ride like the wind
Ride like the wind
[Verse 2: Christopher Cross]
I was born the son of a lawless man
Always spoke my mind with a gun in my hand
Lived nine lives
Gunned down ten
Gonna ride like the wind
[Chorus: Christopher Cross (Michael McDonald)]
And I've got such a long way to go (Such a long way to go)
To make it to the border of Mexico
So I'll ride like the wind
Ride like the wind"
1980,18,Upside Down,Diana Ross,https://genius.com/Diana-ross-upside-down-lyrics,"[Intro]
I said upside down, you're turning me
You're giving love instinctively
'Round and 'round, you're turning me
[Chorus]
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round and 'round
[Verse 1]
Instinctively, you give to me the love that I need
I cherish the moments with you
Respectfully, I say to thee
I'm aware that you're cheating
When no one makes me feel like you do
[Chorus]
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round and 'round"
1980,19,Please Don't Go,KC and the Sunshine Band,https://genius.com/Kc-and-the-sunshine-band-please-dont-go-lyrics,"[Intro]
I love you
Yeah
[Verse 1]
Babe, I love you so
I want you to know
That I'm gonna miss your love
The minute you walk out that door
[Chorus]
So please don't go, don't go
Don't go away
Please don't go, don't go
I'm begging you to stay
[Verse 2]
If you leave, at least in my lifetime
I've had one dream come true
I was blessed to be loved
By someone as wonderful as you
[Chorus]
So please don't go, don't go
Don't go away
Please don't go, don't go
I'm begging you to stay, hey, hey, hey"
1980,20,Babe,Styx,https://genius.com/Styx-babe-lyrics,"[Verse 1]
Babe, I'm leaving
I must be on my way
The time is drawing near
My train is going
I see it in your eyes
The love, the need, your tears
[Bridge]
But I'll be lonely without you
And I'll need your love to see me through
So please believe me
My heart is in your hand
And I'll be missing you
[Chorus]
'Cause you know it's you, babe
Whenever I get weary
And I've had enough
Feel like giving up
You know it's you, babe
Giving me the courage
And the strength I need
Please believe that it's true
Babe, I love you"
1980,21,With You I'm Born Again,Billy Preston and Syreeta,https://genius.com/Syreeta-with-you-im-born-again-lyrics,"Come bring me your softness
Comfort me through all this madness
Woman, don't you know, with you I'm born again
Come give me your sweetness
Now there's you, there is no weakness
Lying safe within your arms, I'm born again
I was half, not whole
In step with none
Reaching through this world
In need of one
Come show me your kindness
In your arms I know I'll find this
Woman, don't you know, with you I'm born again
Lying safe with you I'm born again
Come bring me your softness
Comfort me through all this madness
Woman, don't you know, with you I'm born again
Come give me your sweetness
Now there's you, there is no weakness
Lying safe within your arms, I'm born again
Woman, don't you know, with you I'm born again"
1980,22,Shining Star,The Manhattans,https://genius.com/The-manhattans-shining-star-lyrics,"[Intro]
Ooh-ooh, ooh-ooh-ooh-ooh, ooh, yeah
[Chorus]
Honey, you are my shining star
Don't you go away, oh, baby
Wanna be right here where you are
Until my dying day, yeah, baby
[Verse 1]
So many have tried
Tried to find a love like yours and mine, mmm, hmm-mmm
Girl, don't you realize how you hypnotize
Make me love you more each time, yeah, baby
[Pre-Chorus]
Honey, I'll never leave you lonely
Give my love to you only
To you only, to you only
[Chorus]
Honey, you are my shining star
Don't you go away, no, baby
Wanna be right here where you are
Until my dying day, yeah, baby"
1980,23,Still,Commodores,https://genius.com/Commodores-still-lyrics,"[Verse 1]
Lady, morning's just a moment away
And I'm without you once again
You laughed at me
You said you never needed me
I wonder if you need me now
[Chorus]
We played the games that people play
We made mistakes along the way
Somehow I know deep in my heart
You needed me
Remembering the pain if I must say
It's deep in my mind and locked away
But then most of all
I do love you
Still
[Verse 2]
Those memories
Times I'm sure we'll never forget
Those feelings we can't put aside
For what we had
Sometimes I try to understand
But it's so heavy on my mind
So many dreams that flow away
So many words we didn't say
Two people lost in a storm
Where did we go?
Where'd we go?
Lost what we both had found
You know we let each other down
But then most of all
I do love You
Still"
1980,24,"Yes, I'm Ready",Teri DeSario & KC,https://genius.com/Teri-desario-and-kc-and-the-sunshine-band-yes-im-ready-lyrics,"[Teri]:
I don't even know how to love you
Just the way you want me to, oh, baby
But I'm ready to learn
Yes, I'm ready to learn
[Teri and KC]:
To fall in love
To fall in love
To fall in love with you
[KC]:
Oh, baby, I don't even know how to hold your hand
Just to make you understand
But I'm ready to learn
Yes, I'm ready to learn
[Teri and KC]:
To hold your hand
Make you understand
To hold your hand right now
[Teri]:
I don't even know how to kiss your lips
At a moment like this, oh, yeah
[KC]:
Oh, but I'm gonna learn how to do
All the things you want me to, yeah"
1980,25,Sexy Eyes,Dr. Hook,https://genius.com/Dr-hook-sexy-eyes-lyrics,"[Verse 1]
I was sitting all alone, watching people getting off, with each other
They were dancing 'cross the floor, turning movement back and forth, they were lovers
One more lonely night for me, I looked up what did I see
[Chorus]
Sexy eyes, moving 'cross the floor, couldn't want for more, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes
[Verse 2]
I got up and took your hand and we both began to dance to the music
Ooh your magic cast a spell, it didn't take long 'til we fell and we knew it
No more lonely nights for me, this is how its gonna be
[Chorus]
Sexy eyes, moving 'cross the floor, couldn't want for more, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes
No more lonely nights for me, this is how its gonna be
Sexy eyes, moving 'cross the floor, couldn't want for more, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes
Sexy eyes, getting down with you, I wanna move with you, sexy eyes"
1980,26,Steal Away,Robbie Dupree,https://genius.com/Robbie-dupree-steal-away-lyrics,"[Instrumental intro]
[Verse 1]
Come on and hold me
Just like you told me
Then show me
What I want to know
[Chorus 1]
Why don't we steal away
Why don't we steal away
Into the night
I know it ain't right
[Verse 2]
Don't tease me
Why don't you please me
And show me
What you came here for
[Chorus 1]
Why don't we steal away
Why don't we steal away
Into the night
I know it ain't right"
1980,27,Biggest Part of Me,Ambrosia,https://genius.com/Ambrosia-biggest-part-of-me-lyrics,"[Intro]
(Yeah)
[Verse 1]
(Sunrise) There's a new sun a-risin'
(In your eyes) I can see a new horizon
(Realize) That will keep me realizin'
You're the biggest part of me
(Stay the night) Need your lovin' here beside me
(Shine a light) Need you close enough to guide me
(All my life) I've been hopin' you would find me
You're the biggest part of me
[Chorus]
Well, make a wish, baby
Well, and I will make it come true
Make a list, baby
Of the things I'll do for you
Ain't no risk, now
In lettin' my love rain down on you
So we could wash away the past
So that we may start anew
[Verse 2]
(Rainbow) Risin' over my shoulder
(Love flows) Gettin' better as we're older
(All I know) All I wanna do is hold her
She's the life that breathes in me
(Forever) Got a feelin' that forever
(Together) We are gonna stay together
(Forever) For me, there's nothin' better
You're the biggest part of me"
